id	name	rating	delta
heltion	何逊	3319.077304206573	107.88515563713104
johnkram	汪乐平	3144.291974224282	0
asapin	饭他吃	2978.526001758954	0
huangyuyang	ztxz16	2833.4200783040533	112.29044153965087
jtjl	JTJL	2770.6924359637933	-31.96367612008926
zerotrac2	zerotrac 🌸	2737.0444453677487	-63.28354552404444
qingczha	张晴川	2712.237675607119	-69.08438576341469
light-cml	LighT	2684.3326582282943	122.96582161540942
tian-tang-6	天塘	2683.36922745785	0
liouzhou_101	liouzhou_101	2680.745412249111	0
wifiii	wifiii	2662.1191248065115	-85.39760496280765
lucifer1004	吴自华	2661.1585217122138	-88.04696186850965
cuiaoxiang	Aoxiang Cui	2655.7495052218187	-124.0329253781144
zscnash	邹事成	2623.3708497699445	0
zqy1018	zqy1018	2617.4989767815696	0
jasonvictoryan	jasonvictoryan	2609.9387312364574	0
int65536	int65536	2605.8181053572675	0
xh286286	redpandabigcat	2594.79625089849	106.44492894521368
cksp	lucas110550	2592.913731211105	0
lightcml	LighT	2592.1374701782383	0
milesian-c	Milesian	2565.4954706600697	99.52295918363443
lozy219	lozy219	2554.9257033993063	0
sfiction	sfiction	2553.496473782097	141.83439606160738
sleepybag	SleepyBag	2551.7012600882936	56.10238975541078
smartly	SmartLy	2521.1527166521437	0
endlesscheng	灵茶山艾府	2519.1398956049225	0
_aki_	aki	2502.4431418614017	0
han3000	Han3000	2499.027749904641	-21.02709006093683
wnjxyk	Zhi Zhou	2465.8060960135595	-78.90998616985526
w285714	w285714	2462.9806496757487	-88.02675983204468
gao-bie-xian-yu	告别咸鱼	2453.929837205534	0
heyshb	Avalon	2450.6761473997517	39.49839244395234
pku_erutan	pku_erutan	2448.8428215151916	0
laekov_prc	laekov	2447.726761141322	0
galaxies	Galaxies	2441.3791579516437	0
jinmingli	jinmingli	2440.2477757158867	128.46889412781735
maxd-3	Max.D.	2432.9386185303315	0
fallleaves01	fallleaves01	2431.5038277874237	0
yang12138	yang12138	2429.4838636320533	0
daodao-2	daodao	2426.156142940153	0
arignote	arignote	2425.4280333141073	-110.65138347040325
ezoixx130	ezoixx130	2424.1680781135397	0
newhar	newhar	2408.0896582245314	12.523821619172438
minori	Minori	2406.6636753912967	0
weak-chicken	树叶烦	2406.5542689838776	73.18965085982659
ychzhou	ychzhou	2404.4730138943223	-84.23439405061818
acst	acst	2403.7332729449113	0
noxe	noxe	2400.0894431301886	-31.590803286484473
paigulong	RUSH_D_CAT	2384.105138264058	104.23881157964597
suspicious-colden	Suspicious Colden	2383.423530940312	0
chelly-6	Chelly	2383.420440847423	0
darkaimagic	darkaimagic	2380.0774365343736	0
qodjf	qodjf	2377.3887528435002	0
tuogy	tuogy	2375.4307730547507	0
