id	name	rating	delta
heltion	何逊	3255.047798165478	99.03869760835404
int65536	int65536	3202.604445694161	0
asapin	饭他吃	3135.0425346647935	0
ayamt	Ayamt	3018.8866450894616	0
johnkram	汪乐平	3004.045236120412	0
lucifer1004	吴自华	2921.437085068431	0
renascencepjw0510	shawn	2887.704397961152	0
qingczha	张晴川	2885.6069058591434	26.50240991468867
jtjl	JTJL	2851.379506936383	0
mingqin-chen	Mingqin Chen	2813.8583135051663	0
acw_yxc	acwing_yxc	2812.11717705985	-36.62328128601767
asdfasdfasdf123123	yukiyukiyukiyukiyuki	2802.579517566783	0
wifiii	wifiii	2779.8263870973014	-97.74410132346894
liouzhou_101	liouzhou_101	2771.9268220680933	0
hhhyyyfff	hhhyyyfff	2754.9541389850137	0
zqy1018	zqy1018	2735.637165582589	58.41905019124296
ykx_akks	ykx_akks	2728.162733882516	119.36599189131621
heyshb	Avalon	2724.3523982050033	0
huangyuyang	ztxz16	2713.619710603194	0
lucifer1005	hide on bush	2711.3732841370193	-38.684568363186926
zerotrac2	zerotrac 🌸	2667.615744061746	0
cuiaoxiang	Aoxiang Cui	2663.8084698228877	-0.5370740490553594
tiger2005	tiger2005	2657.5500335399092	41.24945223392287
zscnash	邹事成	2655.447869506752	0
cksp	lucas110550	2640.7473017283783	0
tian-tang-6	天塘	2611.880955000168	0
jasonvictoryan	jasonvictoryan	2608.064583584097	0
bartsun	bartsun	2605.484272150421	0
weak-chicken	树叶烦	2600.9615660905583	0
oldyan	oldyan	2596.8546726999375	27.085743073894392
minori	Minori	2590.30538788928	73.07887788455209
wnjxyk	Zhi Zhou	2572.5875651515353	0
sfiction	sfiction	2564.414857796873	0
polonez	Polonez	2563.934314355678	0
arignote	arignote	2557.7575864577493	-30.46954068391697
paigulong	RUSH_D_CAT	2550.6979528772476	0
yousiki	YouSiki	2546.6128744264875	0
qqwqert007	qqwqert007	2544.9552468208262	-123.9505610469938
endlesscheng	灵茶山艾府	2539.951583478155	0
tong-cai-hong	童彩虹	2538.9969799234955	0
smartly	SmartLy	2533.510440255652	0
sserxhs	SSerxhs	2533.488972496909	-5.662296723076775
sdcgvhgj	sdcgvhgj	2532.9073056166817	0
kikokiko	Kikokiko	2527.653338265443	0
winter_training	winter_training	2521.57412179157	-101.20349601773806
_aki_	aki	2520.4382694309484	0
lightcml	LighT	2518.5980437059247	0
kayroger-n	Kayroger	2511.881357567757	232.37667820607535
jinmingli	jinmingli	2509.5559866504286	0
superj	SuperJ	2505.755325560001	85.41580021383119
laekov_prc	laekov	2497.4228440218453	0
lddlinan	82年的muggle	2491.834137630261	118.35572814357138
ezoixx130	ezoixx130	2485.369266649714	0
gao-bie-xian-yu	告别咸鱼	2483.691753549812	0
hust_dhc	子非鱼	2480.9537275722146	0
suspicious-colden	Suspicious Colden	2477.0824741363854	0
maskray	meowray	2474.336393924489	0
lozy219	lozy219	2465.7068679785516	0
caigogo	caigogo	2464.678631310965	0
inszva-2	InsZVA	2462.711939443192	0
radiancesheep	TinyVii	2460.8853615086646	-13.074525734832473
wzc1995	wzc1995	2455.2004195019467	0.7288462718855904
qodjf	qodjf	2453.1835731942124	0
galaxies	Galaxies	2451.123646113101	0
pku_erutan	pku_erutan	2448.9453441274322	0
sleepybag	SleepyBag	2446.046937820082	-12.525732046249782
boringleetcode	boringleetcode	2433.232259596457	0
ddmike	ddmike	2430.1533023472916	-11.4370165734591
light-cml	LighT	2421.295630923811	-88.2765151499792
maxd-3	Max.D.	2413.3787839637494	-3.769858189917027
yang12138	yang12138	2405.604298732758	0
i_love_xiaoshagua_cpp	Shango	2401.946241114981	0
noxe	noxe	2401.438783874641	-5.898288100809037
acst	acst	2400.6051879752877	0
simulated-anneal	Simulated Anneal	2399.872715592415	0
simpleson	Simpleson	2399.23519949336	30.708636280471765
747929791	747929791	2399.0689810869635	0
thuczh	thuczh	2394.8905826188134	59.30477315501879
chelly-6	Chelly	2394.6568195380974	0
lxy-tql	Lxy-Tql	2391.7244393176184	0
w285714	w285714	2391.5220414435585	52.934024330273715
caorui	Fighter	2390.64472475704	0
tuogy	tuogy	2388.0051090279107	0
9am	9am	2387.7914450069493	0
lx1374327576	lx1374327576	2384.606409558913	0
ujimatsu_chiya	Ujimatsu Chiya	2372.1709241354856	-66.75498836165308
ychzhou	ychzhou	2371.67917155513	0
lu-you-guan-guang	旅游观光	2369.0807131188853	0
richenyunqi	日沉云起	2368.848947812255	-34.944102038423
xh286286	redpandabigcat	2366.7570025134946	0
perfectpan	PerfectPan	2365.4606140542487	-57.84151828041682
xi-jun-xiao-zi	细菌小子	2364.4993387473482	21.733207026483928
fallleaves01	fallleaves01	2360.5920659445837	0
sun-man-man	孙慢慢	2358.4746820491637	68.44814372466853
kpole	今夕	2354.428745074743	0
npuzj	npuzj	2353.4765801424774	0
changxingjiang	长行	2352.324463508527	0
ddoudle	Doudle	2352.278674570258	-65.97644879642563
lostleaf	lostleaf	2347.1323681069493	0
