id	name	rating	delta
int65536	int65536	3303.009494703228	0
arignote	arignote	3153.9345649708143	57.916226425497044
johnkram	汪乐平	3134.7178948410256	0
lucifer1005	hide on bush	3043.890098052126	0
sfiction	sfiction	3037.49966319163	0
wwwwodddd	wwwwodddd	3033.0689167068886	0
lucifer1004	吴自华	3021.950999595646	0
ayamt	Ayamt	3018.8866450894616	0
wifiii	wifiii	3002.3634189081804	0
zerotrac2	zerotrac 🌸	3000.553388313213	0
fan_of_emptyhope	fan_of_emptyhope	2989.399146976946	0
heltion	何逊	2973.0251594700785	0
tiger2005	tiger2005	2924.4745103028918	-25.982628906580075
hongrock	Hongrock	2901.8552882966137	186.88807309969766
hhhyyyfff	hhhyyyfff	2893.1273632886127	0
liouzhou_101	liouzhou_101	2891.151839897312	64.10348149899973
renascencepjw0510	shawn	2887.704397961152	0
lucifer1006	牧瀬 紅莉栖	2880.2853054189127	53.555565977398956
i_love_xiaoshagua_cpp	Shango	2875.0572403487718	0
endlesscheng	灵茶山艾府	2872.887497925939	-191.80935652962748
7ucid-herscheld6u	jiangly	2843.8915220078406	0
ling-jian-2012	灵剑2012	2836.6120793484074	0
jasonvictoryan	jasonvictoryan	2827.576850892475	0
mingqin-chen	Mingqin Chen	2813.8583135051663	0
meyi	zankizero	2803.1534773916674	-14.788835995355482
qingczha	张晴川	2802.400951531346	2.9312798649656475
asdfasdfasdf123123	yukiyukiyukiyukiyuki	2799.0705617087597	0
shengtongtong	shengtongtong	2781.6394322045894	14.846549191722161
duyiblue	duyi	2760.9901916301724	0
ljc00118	LJC00118	2759.6946558904374	0
acw_yxc	acwing_yxc	2754.4676184324244	0
aging	Aging	2748.1657187987744	37.35437259753725
oldyan	oldyan	2746.7726438666755	131.12157752963608
tsreaper	TsReaper	2741.7393929387154	13.717538457595893
asapin	饭他吃	2735.4079489259807	11.53375247033081
robezh-4	RobeZH	2719.6532582199793	0
ainuyu	Ainu	2709.218304128144	0
heyshb	Avalon	2706.788920630853	0
pornjoke	Pornjoke	2702.77629560865	0
jtjl	JTJL	2692.488622123337	0
gooday-3	gooday	2691.720345715809	77.63717568050255
huangyuyang	ztxz16	2688.867036559674	-56.93633516336273
cksp	lucas110550	2684.3068823357708	37.63978906054048
chiro_11	Chiro_11	2662.9101545319627	0
zqy1018	zqy1018	2659.9021442431035	0
sserxhs	SSerxhs	2659.5730874469464	0
kayroger-n	Kayroger	2659.476376408164	0
moransky	空	2657.685829534469	6.356281861842163
newhar	newhar	2644.9404554937973	112.05403590251412
pku_erutan	pku_erutan	2633.882686213416	-43.675334817104485
kybconnor	kybconnor	2615.834010185936	0
megurine	5cm/s 🌸	2605.6950813014705	-1.2044699051590282
qqwqert007	qqwqert007	2604.4250614994494	15.926459896862198
kpole	今夕	2600.2787989461763	-29.813157549864954
smartly	SmartLy	2589.988004704855	0
czsnb	czsnb	2587.118148763814	0.7714626324976894
cuiaoxiang	Aoxiang Cui	2580.3798848883275	-30.479463492016166
vibrant-mayerhct	Vibrant MayerHCt	2575.28138875469	15.756662641621588
yousiki	YouSiki	2571.4881819199204	0
yang12138	yang12138	2568.709919444192	0
ychzhou	ychzhou	2565.3072722733746	0
polonez	Polonez	2563.934314355678	0
qqapp	katoo	2559.8826103167607	-63.68349892044931
lympanda	lympanda	2551.571767851435	0
noxe	noxe	2551.2769234190905	0
ruimina	大熊猫趴树上	2548.698229839839	226.9486915564727
radiancesheep	TinyVii	2547.3007998420326	53.11419155427929
kikokiko	Kikokiko	2543.0639847626157	0
lozy219	lozy219	2539.728527447933	0
w285714	w285714	2539.2283524829113	-19.66740108659961
cola99	Cola9.9	2538.5950723168926	0
tryonetry	orrz	2534.941026331832	0
eagleeyekestrel	EagleEyeKestrel	2529.4981838205904	0
breezemy	/kk	2524.6107464077704	-39.242385011458836
_aki_	aki	2520.4382694309484	0
htedsv-i	tennkei	2517.59639250089	0
minori	Minori	2516.998573858344	0.8236275379673703
lightcml	LighT	2512.7594650271176	0
zrts	Ruotian Zhang	2510.159053522071	6.334987874240269
jinmingli	jinmingli	2508.2699699228156	63.32238147349598
lin-yi-zw	林艺	2506.752042498353	0
xh286286	redpandabigcat	2505.40019804082	173.4373733554916
rhodoks	第三神圣绿罗马共和国	2502.342332109018	0
rgb234rgb	rgb234rgb	2498.406537485747	0
laekov_prc	laekov	2497.4228440218453	0
lddlinan	82年的muggle	2496.8327228586368	-35.05946146232519
zscnash	邹事成	2486.7195450769404	0
ezoixx130	ezoixx130	2485.369266649714	0
ykx_akks	ykx_akks	2485.352234426184	0
gao-bie-xian-yu	告别咸鱼	2483.691753549812	0
suspicious-keldyshlkl	daidailanlan	2482.766182768603	0
hust_dhc	子非鱼	2480.9537275722146	0
hua-man-ren-jian	花满人间	2478.8758696165373	87.5377217797742
suspicious-colden	Suspicious Colden	2477.0824741363854	0
user6987q	23岁不样退休	2474.791018099145	0
IBle4ivChI	jinzhao1994	2473.8881382751542	0
tonghuikang	涂汇康	2473.45023127306	0
huiget-6	huiget	2473.290392859289	-9.176051462977382
caigogo	caigogo	2464.678631310965	0
cppsail	CppSail	2462.6513254268784	0
milesian-c	Milesian	2453.4987859281055	-125.15239453179366
qodjf	qodjf	2453.1835731942124	0
galaxies	Galaxies	2451.123646113101	0
wa_king	WA_king	2448.3926790874248	0
naivebird	naivebird	2448.0184895321167	0
wasa855	wasa855	2447.203085403373	0
_hy3	以上皆非_Official	2445.822667733992	-34.85416633768055
privite	sachzhou	2445.028905427432	92.10283596887929
changxingjiang	长行	2443.210928375344	0
sun-man-man	孙慢慢	2438.6828450460766	37.41737635023527
maskray	meowray	2438.5162812072904	0
nopenope	nopenope	2438.1493628742337	0
kaizyn	Kaizyn	2435.8257239886657	79.32754740764598
seers-v	seers	2432.2921352498806	162.49707614643094
fanzhh	fanzhh	2430.996552411986	0
tong-cai-hong	童彩虹	2430.244722746313	0
acvv_choufeng	acvv_choufeng	2428.4919639491563	0
there_were_none	红红火火又是一年	2424.7478912832003	0
miahall	流年	2423.0395685549674	23.41714284134413
scut_dell	字节bpm团队求2-2大佬	2419.6731558690435	184.07639552726792
li-kou-xiao-bai-be	臨兵鬥者皆陣列前行	2419.488027731304	0
shawnxi	Shawn	2417.802388425331	160.45345297098052
tian-tang-6	天塘	2416.41338304007	0
mi-ka-d	米咔	2416.3225119928647	0
wheneveright	wheneveright	2415.7242103876733	0
xyl-5	xyl	2411.1865698529336	0
0ffers	0ffers	2409.82606372808	0
cjy-e	cjy	2408.8665790460373	0
wnjxyk	Zhi Zhou	2408.7721827484893	0
lanly	Lanly	2408.6208668800828	-2.8834754837711056
paigulong	RUSH_D_CAT	2408.39088803767	-60.669406641358236
hamburger-12	hamburger	2407.4374604338136	0
