id	name	rating	delta
int65536	int65536	3303.009494703228	0
heltion	何逊	3048.9018562555793	-84.01673907210117
lucifer1005	hide on bush	3043.890098052126	0
sfiction	sfiction	3037.49966319163	0
wifiii	wifiii	3036.670738737641	0
lucifer1004	吴自华	3021.950999595646	0
ayamt	Ayamt	3018.8866450894616	0
johnkram	汪乐平	3014.0558275928147	0
zerotrac2	zerotrac 🌸	3000.553388313213	0
moransky	空	2984.572663763798	0
arignote	arignote	2970.5469245313475	49.44588265213049
wlzhouzhuan	wlzhouzhuan	2965.0862498815827	6.655757301895694
qingczha	张晴川	2906.1013242616727	0
renascencepjw0510	shawn	2887.704397961152	0
tsreaper	TsReaper	2869.935137169742	-64.97462998626399
froggygua	Froggy	2857.296015762147	30.570751421331423
mingqin-chen	Mingqin Chen	2813.8583135051663	0
arubaababa	arubaababa	2806.265939801795	71.02433738168345
shengtongtong	shengtongtong	2802.6969867908015	219.22827039267676
asdfasdfasdf123123	yukiyukiyukiyukiyuki	2799.0705617087597	0
lucifer1006	牧瀬 紅莉栖	2781.1165688861943	22.953858297283958
ling-jian-2012	灵剑2012	2768.7357876144483	99.00425956903003
acw_yxc	acwing_yxc	2754.4676184324244	0
paigulong	RUSH_D_CAT	2732.174643892116	0
endlesscheng	灵茶山艾府	2728.0964967175955	-38.157819534117536
pornjoke	Pornjoke	2725.818808356205	0
jtjl	JTJL	2723.101231797144	0
ainuyu	Ainu	2709.218304128144	0
cuiaoxiang	Aoxiang Cui	2669.0194745977838	0
asapin	饭他吃	2668.3921660269184	-165.56981884344
hhhyyyfff	hhhyyyfff	2665.6327657557554	0
kayroger-n	Kayroger	2659.476376408164	0
tong-cai-hong	童彩虹	2645.231369693065	0
jasonvictoryan	jasonvictoryan	2644.279193220004	0
superj	SuperJ	2637.3776441233513	189.7534330601271
liouzhou_101	liouzhou_101	2605.5152654048943	-59.51828822141594
weak-chicken	树叶烦	2600.9615660905583	0
koishi514	Koishi514	2599.7477792529035	0
pku_erutan	pku_erutan	2597.158762038661	-19.523244855182764
tian-tang-6	天塘	2595.833522842641	-169.91410565916263
minori	Minori	2594.8145101313294	0
kybconnor	kybconnor	2576.418399106701	0
ykx_akks	ykx_akks	2575.0468746714632	-122.96303748798498
heyshb	Avalon	2572.268795429101	-111.15837824562247
yousiki	YouSiki	2571.4881819199204	0
ychzhou	ychzhou	2565.3072722733746	0
polonez	Polonez	2563.934314355678	0
w285714	w285714	2561.104805233041	-36.526918049562866
zqy1018	zqy1018	2552.4872991445704	0
IBle4ivChI	jinzhao1994	2545.6169637731427	0
mollnn	mollnn	2545.526085020296	60.57388216318243
kikokiko	Kikokiko	2543.0639847626157	0
lightcml	LighT	2541.5252392757684	0
czsnb	czsnb	2541.0781580283874	0
cola99	Cola9.9	2538.5950723168926	0
suspicious-keldyshlkl	daidailanlan	2536.6505166646684	0
xi-jun-xiao-zi	细菌小子	2536.156996935268	-20.279479751789875
tryonetry	orrz	2534.941026331832	0
mon3ter	Eyjafjalla	2532.7983853244405	117.33442185903807
sun-man-man	孙慢慢	2530.4842433803483	70.34609380313016
i_love_xiaoshagua_cpp	Shango	2526.889956516405	-118.21444933292666
xh286286	redpandabigcat	2524.594117581115	0
rgb234rgb	rgb234rgb	2522.768120144746	0
_aki_	aki	2520.4382694309484	0
inszva-2	InsZVA	2512.7723341504366	0
cksp	lucas110550	2510.507446107955	25.93551107552328
tiger2005	tiger2005	2508.2059529018707	-135.3148557183926
9am	9am	2506.335798806762	22.284978376716097
noxe	noxe	2505.065523869199	0
